Cluster,Duración Ciclo de Ventas (días),Leads Generados,Oportunidades Abiertas,Contratos Cerrados,Valor del Contrato,Tiempo de Cierre (días)
-1,114.44457687723481,344.3754469606675,102.75983313468414,27.694278903456496,740599.6412395709,72.12157330154946
0,92.30725346373268,178.39934800325997,34.15566422167889,7.233903830480847,167713.67563162185,58.89079054604727
1,165.1,262.5,21.1,4.0,100459.6,154.3
2,154.3846153846154,392.3076923076923,20.46153846153846,5.0,108820.76923076923,101.92307692307692
3,49.75,277.5625,111.5,13.4375,302173.5,37.4375
4,60.888888888888886,309.3333333333333,98.0,3.4444444444444446,94889.66666666667,48.333333333333336
5,35.0,425.6,120.6,7.8,174415.8,32.4
6,47.8,356.6,113.6,32.4,216996.0,41.6
7,41.833333333333336,447.6666666666667,71.83333333333333,19.25,208216.0,34.416666666666664
8,57.2,286.6,83.2,34.6,823572.4,52.6
9,94.4,393.4,48.2,18.8,250564.8,68.6
10,58.25,393.5,87.75,7.75,47726.25,35.0
11,170.5,111.66666666666667,47.833333333333336,14.5,264156.1666666667,160.33333333333334
12,125.6,378.6,43.0,17.2,433396.4,106.0
